# Gene Family	demo_Abundance-CPM
UniRef90_A0A0P0M6J9|g__Bacteroides.s__Bacteroides_vulgatus	248.397
UniRef90_A0A076INF6	248.205
UniRef90_A0A076INF6|g__Bacteroides.s__Bacteroides_vulgatus	248.205
UniRef90_A0A076IW30	245.72
UniRef90_A0A076IW30|g__Bacteroides.s__Bacteroides_vulgatus	245.72
UniRef90_A0A0K2HFA0	243.265
UniRef90_A0A0K2HFA0|g__Bacteroides.s__Bacteroides_vulgatus	243.265
UniRef90_A0A0N7J703	243.264
UniRef90_A0A0N7J703|g__Bacteroides.s__Bacteroides_vulgatus	243.264
UniRef90_A0A076J4I6	243.08
UniRef90_A0A076J4I6|g__Bacteroides.s__Bacteroides_vulgatus	243.08
UniRef90_A0A1Q6IDU2	241.689
UniRef90_A0A1Q6IDU2|g__Bacteroides.s__Bacteroides_vulgatus	241.689
UniRef90_A0A3E4PLD2	241.526
UniRef90_A0A3E4PLD2|g__Bacteroides.s__Bacteroides_vulgatus	241.526
UniRef90_B6VTD9	240.913
UniRef90_B6VTD9|g__Bacteroides.s__Bacteroides_vulgatus	240.913
UniRef90_A0A0P0LP45	240.535
UniRef90_A0A0P0LP45|g__Bacteroides.s__Bacteroides_vulgatus	240.535
UniRef90_I8WCZ9	240.063
UniRef90_I8WCZ9|g__Bacteroides.s__Bacteroides_vulgatus	240.063
UniRef90_A0A076J2S9	239.587
UniRef90_A0A076J2S9|g__Bacteroides.s__Bacteroides_vulgatus	239.587
UniRef90_A0A076ITA9	239.06
UniRef90_A0A076ITA9|g__Bacteroides.s__Bacteroides_vulgatus	239.06
UniRef90_A0A0P0M3N9	238.446
UniRef90_A0A0P0M3N9|g__Bacteroides.s__Bacteroides_vulgatus	238.446
UniRef90_R6J7M6	238.244
UniRef90_R6J7M6|g__Bacteroides.s__Bacteroides_vulgatus	238.244
UniRef90_A0A174U119	238.036
UniRef90_A0A174U119|g__Bacteroides.s__Bacteroides_vulgatus	238.036
UniRef90_A0A0P0M5G4	237.7
UniRef90_A0A0P0M5G4|g__Bacteroides.s__Bacteroides_vulgatus	237.7
UniRef90_A0A076INP0	237.462
